_id,_sources,end_date,number,start_date
1,,1970,"{""el"":""Α"",""en"":""1"",""tr"":""1""}",1960
10,,2016-04-14,"{""el"":""Ι"",""en"":""10"",""tr"":""10""}",2011-06-02
11,,,"{""el"":""Κ"",""en"":""11"",""tr"":""11""}",2016-06-02
2,,1976,"{""el"":""Β"",""en"":""2"",""tr"":""2""}",1970
3,,1981,"{""el"":""Γ"",""en"":""3"",""tr"":""3""}",1976
4,,1985,"{""el"":""Δ"",""en"":""4"",""tr"":""4""}",1981
5,,1991,"{""el"":""Ε"",""en"":""5"",""tr"":""5""}",1985
6,,1996,"{""el"":""ΣΤ"",""en"":""6"",""tr"":""6""}",1991
7,,2001,"{""el"":""Ζ"",""en"":""7"",""tr"":""7""}",1996
8,,2006,"{""el"":""Η"",""en"":""8"",""tr"":""8""}",2001
9,,2011,"{""el"":""Θ"",""en"":""9"",""tr"":""9""}",2006

